"","Insect","Plant_Combinations","Mean_Season1","Mean_Season2","Mean_Season3","StdError_Season1","StdError_Season2","StdError_Season3"
"1","Hellula","AgerBot",0,0,0,0.00234407961817194,0.00181843745955251,0.00153141043947652
"2","Hellula","AgerBot",0,0,0,0.00234407961817194,0.00181843745955251,0.00153141043947652
"3","Hellula","AgerBot",0,0,0,0.00234407961817194,0.00181843745955251,0.00153141043947652
"4","Hellula","AgerBot",0,0,0,0.00234407961817194,0.00181843745955251,0.00153141043947652
"5","Hellula","Agerwater",0.5,0.5,0.25,0.00234407961817194,0.00181843745955251,0.00153141043947652
"6","Hellula","Agerwater",0.5,0.25,0.25,0.00234407961817194,0.00181843745955251,0.00153141043947652
"7","Hellula","Agerwater",0,0,0,0.00234407961817194,0.00181843745955251,0.00153141043947652
"8","Hellula","Agerwater",0,0,0,0.00234407961817194,0.00181843745955251,0.00153141043947652
"9","Hellula","Agerattack",0.25,0.25,0.25,0.00234407961817194,0.00181843745955251,0.00153141043947652
"10","Hellula","Agerattack",0.5,0.5,0.25,0.00234407961817194,0.00181843745955251,0.00153141043947652
"11","Hellula","Agerattack",0.5,0.25,0,0.00234407961817194,0.00181843745955251,0.00153141043947652
"12","Hellula","Agerattack",0,0,0,0.00234407961817194,0.00181843745955251,0.00153141043947652
"13","Hellula","CymbBot",0,0,0,0.00234407961817194,0.00181843745955251,0.00153141043947652
"14","Hellula","CymbBot",0,0,0,0.00234407961817194,0.00181843745955251,0.00153141043947652
"15","Hellula","CymbBot",0,0,0,0.00234407961817194,0.00181843745955251,0.00153141043947652
"16","Hellula","CymbBot",0,0,0,0.00234407961817194,0.00181843745955251,0.00153141043947652
"17","Hellula","Cymbwater",0.25,0.25,0,0.00234407961817194,0.00181843745955251,0.00153141043947652
"18","Hellula","Cymbwater",0.25,0.25,0,0.00234407961817194,0.00181843745955251,0.00153141043947652
"19","Hellula","Cymbwater",0,0,0,0.00234407961817194,0.00181843745955251,0.00153141043947652
"20","Hellula","Cymbwater",0,0,0,0.00234407961817194,0.00181843745955251,0.00153141043947652
"21","Hellula","Cymbattack",0,0,0,0.00234407961817194,0.00181843745955251,0.00153141043947652
"22","Hellula","Cymbattack",0,0,0.25,0.00234407961817194,0.00181843745955251,0.00153141043947652
"23","Hellula","Cymbattack",0,0,0.25,0.00234407961817194,0.00181843745955251,0.00153141043947652
"24","Hellula","Cymbattack",0,0,0,0.00234407961817194,0.00181843745955251,0.00153141043947652
"25","Hellula","LantBot",0,0,0,0.00234407961817194,0.00181843745955251,0.00153141043947652
"26","Hellula","LantBot",0,0,0,0.00234407961817194,0.00181843745955251,0.00153141043947652
"27","Hellula","LantBot",0,0,0,0.00234407961817194,0.00181843745955251,0.00153141043947652
"28","Hellula","LantBot",0,0,0,0.00234407961817194,0.00181843745955251,0.00153141043947652
"29","Hellula","Lantwater",0.25,0.25,0,0.00234407961817194,0.00181843745955251,0.00153141043947652
"30","Hellula","Lantwater",0.375,0.5,0,0.00234407961817194,0.00181843745955251,0.00153141043947652
"31","Hellula","Lantwater",0.625,0.5,0,0.00234407961817194,0.00181843745955251,0.00153141043947652
"32","Hellula","Lantwater",0.25,0.25,0,0.00234407961817194,0.00181843745955251,0.00153141043947652
"33","Hellula","Lantattack",0.25,0,0,0.00234407961817194,0.00181843745955251,0.00153141043947652
"34","Hellula","Lantattack",0,0,0,0.00234407961817194,0.00181843745955251,0.00153141043947652
"35","Hellula","Lantattack",0,0,0,0.00234407961817194,0.00181843745955251,0.00153141043947652
"36","Hellula","Lantattack",0,0,0,0.00234407961817194,0.00181843745955251,0.00153141043947652
"37","Hellula","TalBot",0.25,0.25,0,0.00234407961817194,0.00181843745955251,0.00153141043947652
"38","Hellula","TalBot",0.25,0,0,0.00234407961817194,0.00181843745955251,0.00153141043947652
"39","Hellula","TalBot",0,0.25,0,0.00234407961817194,0.00181843745955251,0.00153141043947652
"40","Hellula","TalBot",0,0,0,0.00234407961817194,0.00181843745955251,0.00153141043947652
"41","Hellula","Talwater",0.25,0.25,0,0.00234407961817194,0.00181843745955251,0.00153141043947652
"42","Hellula","Talwater",0.25,0.25,0.25,0.00234407961817194,0.00181843745955251,0.00153141043947652
"43","Hellula","Talwater",0,0,0,0.00234407961817194,0.00181843745955251,0.00153141043947652
"44","Hellula","Talwater",0,0,0,0.00234407961817194,0.00181843745955251,0.00153141043947652
"45","Hellula","Talattack",0,0,0,0.00234407961817194,0.00181843745955251,0.00153141043947652
"46","Hellula","Talattack",0,0,0,0.00234407961817194,0.00181843745955251,0.00153141043947652
"47","Hellula","Talattack",0,0,0,0.00234407961817194,0.00181843745955251,0.00153141043947652
"48","Hellula","Talattack",0,0,0,0.00234407961817194,0.00181843745955251,0.00153141043947652
"49","Hellula","TriBot",0.25,0.25,0,0.00234407961817194,0.00181843745955251,0.00153141043947652
"50","Hellula","TriBot",0.25,0.25,0,0.00234407961817194,0.00181843745955251,0.00153141043947652
"51","Hellula","TriBot",0,0,0,0.00234407961817194,0.00181843745955251,0.00153141043947652
"52","Hellula","TriBot",0,0,0,0.00234407961817194,0.00181843745955251,0.00153141043947652
"53","Hellula","Triwater",0.25,0.25,0,0.00234407961817194,0.00181843745955251,0.00153141043947652
"54","Hellula","Triwater",0.25,0.25,0,0.00234407961817194,0.00181843745955251,0.00153141043947652
"55","Hellula","Triwater",0,0,0,0.00234407961817194,0.00181843745955251,0.00153141043947652
"56","Hellula","Triwater",0,0,0,0.00234407961817194,0.00181843745955251,0.00153141043947652
"57","Hellula","Triattack",0,0,0,0.00234407961817194,0.00181843745955251,0.00153141043947652
"58","Hellula","Triattack",0,0,0,0.00234407961817194,0.00181843745955251,0.00153141043947652
"59","Hellula","Triattack",0,0,0,0.00234407961817194,0.00181843745955251,0.00153141043947652
"60","Hellula","Triattack",0,0,0,0.00234407961817194,0.00181843745955251,0.00153141043947652
"61","Hellula","CrotBot",0.25,0.25,0,0.00234407961817194,0.00181843745955251,0.00153141043947652
"62","Hellula","CrotBot",0.25,0.25,0,0.00234407961817194,0.00181843745955251,0.00153141043947652
"63","Hellula","CrotBot",0,0,0,0.00234407961817194,0.00181843745955251,0.00153141043947652
"64","Hellula","CrotBot",0,0,0,0.00234407961817194,0.00181843745955251,0.00153141043947652
"65","Hellula","Crotwater",0,0,0.25,0.00234407961817194,0.00181843745955251,0.00153141043947652
"66","Hellula","Crotwater",0,0,0.25,0.00234407961817194,0.00181843745955251,0.00153141043947652
"67","Hellula","Crotwater",0,0,0.125,0.00234407961817194,0.00181843745955251,0.00153141043947652
"68","Hellula","Crotwater",0,0,0.125,0.00234407961817194,0.00181843745955251,0.00153141043947652
"69","Hellula","Crotattack",0.25,0.25,0.25,0.00234407961817194,0.00181843745955251,0.00153141043947652
"70","Hellula","Crotattack",0,0,0.25,0.00234407961817194,0.00181843745955251,0.00153141043947652
"71","Hellula","Crotattack",0,0,0.25,0.00234407961817194,0.00181843745955251,0.00153141043947652
"72","Hellula","Crotattack",0,0,0,0.00234407961817194,0.00181843745955251,0.00153141043947652
"73","Hellula","Nopwater",0.5,0.25,0.25,0.00234407961817194,0.00181843745955251,0.00153141043947652
"74","Hellula","Nopwater",0.5,0.25,0.5,0.00234407961817194,0.00181843745955251,0.00153141043947652
"75","Hellula","Nopwater",0.5,0.25,0.5,0.00234407961817194,0.00181843745955251,0.00153141043947652
"76","Hellula","Nopwater",0.75,0.25,0.125,0.00234407961817194,0.00181843745955251,0.00153141043947652
"77","Hellula","Nopattack",0,0,0,0.00234407961817194,0.00181843745955251,0.00153141043947652
"78","Hellula","Nopattack",0,0,0.25,0.00234407961817194,0.00181843745955251,0.00153141043947652
"79","Hellula","Nopattack",0,0,0.25,0.00234407961817194,0.00181843745955251,0.00153141043947652
"80","Hellula","Nopattack",0,0,0.25,0.00234407961817194,0.00181843745955251,0.00153141043947652
