"","Insect","Plant_Combinations","Mean_Season1","Mean_Season2","Mean_Season3","StdError_Season1","StdError_Season2","StdError_Season3"
"1","Spider","AgerBot",0.375,0.5,0.875,NA,0.00266722184852339,0.00377237973535035
"2","Spider","AgerBot",0.5,0.25,0.875,NA,0.00266722184852339,0.00377237973535035
"3","Spider","AgerBot",0.375,0.5,0.75,NA,0.00266722184852339,0.00377237973535035
"4","Spider","AgerBot",0.375,0.5,0.75,NA,0.00266722184852339,0.00377237973535035
"5","Spider","Agerwater",0.25,0.5,0.625,NA,0.00266722184852339,0.00377237973535035
"6","Spider","Agerwater",0.5,0.5,1.125,NA,0.00266722184852339,0.00377237973535035
"7","Spider","Agerwater",0.25,0.25,0.875,NA,0.00266722184852339,0.00377237973535035
"8","Spider","Agerwater",0.25,0.25,0.25,NA,0.00266722184852339,0.00377237973535035
"9","Spider","Agerattack",0.25,0.25,0.5,NA,0.00266722184852339,0.00377237973535035
"10","Spider","Agerattack",0,0,0.625,NA,0.00266722184852339,0.00377237973535035
"11","Spider","Agerattack",0,0,0.625,NA,0.00266722184852339,0.00377237973535035
"12","Spider","Agerattack",0,0,0.25,NA,0.00266722184852339,0.00377237973535035
"13","Spider","CymbBot",0.25,0.25,0.375,NA,0.00266722184852339,0.00377237973535035
"14","Spider","CymbBot",0.75,0.5,0.75,NA,0.00266722184852339,0.00377237973535035
"15","Spider","CymbBot",0.25,0.25,0.75,NA,0.00266722184852339,0.00377237973535035
"16","Spider","CymbBot",0.25,0.25,0.375,NA,0.00266722184852339,0.00377237973535035
"17","Spider","Cymbwater",0.25,0.25,0.375,NA,0.00266722184852339,0.00377237973535035
"18","Spider","Cymbwater",0.5,0.5,1,NA,0.00266722184852339,0.00377237973535035
"19","Spider","Cymbwater",0.5,0.25,0.25,NA,0.00266722184852339,0.00377237973535035
"20","Spider","Cymbwater",0.25,0.25,0.375,NA,0.00266722184852339,0.00377237973535035
"21","Spider","Cymbattack",0.5,0.75,0.375,NA,0.00266722184852339,0.00377237973535035
"22","Spider","Cymbattack",0,0,0.125,NA,0.00266722184852339,0.00377237973535035
"23","Spider","Cymbattack",0.25,0,0.75,NA,0.00266722184852339,0.00377237973535035
"24","Spider","Cymbattack",0.25,0,0.25,NA,0.00266722184852339,0.00377237973535035
"25","Spider","LantBot",0.5,0.5,0.75,NA,0.00266722184852339,0.00377237973535035
"26","Spider","LantBot",0.5,0.5,1,NA,0.00266722184852339,0.00377237973535035
"27","Spider","LantBot",0.25,0.25,0.375,NA,0.00266722184852339,0.00377237973535035
"28","Spider","LantBot",0.25,0.25,0.375,NA,0.00266722184852339,0.00377237973535035
"29","Spider","Lantwater",0.25,0.25,0.75,NA,0.00266722184852339,0.00377237973535035
"30","Spider","Lantwater",0,0,0.75,NA,0.00266722184852339,0.00377237973535035
"31","Spider","Lantwater",0.75,0.75,0.25,NA,0.00266722184852339,0.00377237973535035
"32","Spider","Lantwater",0.5,0.5,0.25,NA,0.00266722184852339,0.00377237973535035
"33","Spider","Lantattack",0.5,0.5,0.25,NA,0.00266722184852339,0.00377237973535035
"34","Spider","Lantattack",0.25,0,0.25,NA,0.00266722184852339,0.00377237973535035
"35","Spider","Lantattack",0.25,0,0.5,NA,0.00266722184852339,0.00377237973535035
"36","Spider","Lantattack",0,0,0.25,NA,0.00266722184852339,0.00377237973535035
"37","Spider","TalBot",0.25,0.25,0.75,NA,0.00266722184852339,0.00377237973535035
"38","Spider","TalBot",0.5,0.25,0.625,NA,0.00266722184852339,0.00377237973535035
"39","Spider","TalBot",0.5,0.5,1,NA,0.00266722184852339,0.00377237973535035
"40","Spider","TalBot",0.25,0.25,0.375,NA,0.00266722184852339,0.00377237973535035
"41","Spider","Talwater",0.5,0.5,1,NA,0.00266722184852339,0.00377237973535035
"42","Spider","Talwater",0.5,0.25,0.5,NA,0.00266722184852339,0.00377237973535035
"43","Spider","Talwater",0.5,0.25,0.75,NA,0.00266722184852339,0.00377237973535035
"44","Spider","Talwater",0.25,0.25,0.75,NA,0.00266722184852339,0.00377237973535035
"45","Spider","Talattack",0,0,0.375,NA,0.00266722184852339,0.00377237973535035
"46","Spider","Talattack",0.25,0.25,0.125,NA,0.00266722184852339,0.00377237973535035
"47","Spider","Talattack",0.25,0,0.125,NA,0.00266722184852339,0.00377237973535035
"48","Spider","Talattack",0,0,0.625,NA,0.00266722184852339,0.00377237973535035
"49","Spider","TriBot",0.25,0.25,0.625,NA,0.00266722184852339,0.00377237973535035
"50","Spider","TriBot",0.25,0.25,0.375,NA,0.00266722184852339,0.00377237973535035
"51","Spider","TriBot",0.25,0.25,0.375,NA,0.00266722184852339,0.00377237973535035
"52","Spider","TriBot",0.25,0.25,0.125,NA,0.00266722184852339,0.00377237973535035
"53","Spider","Triwater",0.5,0.5,0.625,NA,0.00266722184852339,0.00377237973535035
"54","Spider","Triwater",0.5,0.5,0.625,NA,0.00266722184852339,0.00377237973535035
"55","Spider","Triwater",0.5,0.25,0.375,NA,0.00266722184852339,0.00377237973535035
"56","Spider","Triwater",0.25,0,0.125,NA,0.00266722184852339,0.00377237973535035
"57","Spider","Triattack",0,0,0,NA,0.00266722184852339,0.00377237973535035
"58","Spider","Triattack",0,0,0.5,NA,0.00266722184852339,0.00377237973535035
"59","Spider","Triattack",0,0,0.375,NA,0.00266722184852339,0.00377237973535035
"60","Spider","Triattack",0,0,0.375,NA,0.00266722184852339,0.00377237973535035
"61","Spider","CrotBot",0.25,0.25,0.625,NA,0.00266722184852339,0.00377237973535035
"62","Spider","CrotBot",0,0.25,0.625,NA,0.00266722184852339,0.00377237973535035
"63","Spider","CrotBot",0.75,0.5,0,NA,0.00266722184852339,0.00377237973535035
"64","Spider","CrotBot",0.25,0,0.5,NA,0.00266722184852339,0.00377237973535035
"65","Spider","Crotwater",0.25,0.25,0.5,NA,0.00266722184852339,0.00377237973535035
"66","Spider","Crotwater",0.25,0.5,0.5,NA,0.00266722184852339,0.00377237973535035
"67","Spider","Crotwater",0.25,0,0.5,NA,0.00266722184852339,0.00377237973535035
"68","Spider","Crotwater",0.25,0,0.25,NA,0.00266722184852339,0.00377237973535035
"69","Spider","Crotattack",0,0,0.375,NA,0.00266722184852339,0.00377237973535035
"70","Spider","Crotattack",0,0,0.125,NA,0.00266722184852339,0.00377237973535035
"71","Spider","Crotattack",0,0,0.375,NA,0.00266722184852339,0.00377237973535035
"72","Spider","Crotattack",0,0,0.375,NA,0.00266722184852339,0.00377237973535035
"73","Spider","Nopwater",0.25,0.25,1.25,NA,0.00266722184852339,0.00377237973535035
"74","Spider","Nopwater",0.5,0.25,1.25,NA,0.00266722184852339,0.00377237973535035
"75","Spider","Nopwater",0.5,0.25,1.5,NA,0.00266722184852339,0.00377237973535035
"76","Spider","Nopwater",0.5,0.75,0.5,NA,0.00266722184852339,0.00377237973535035
"77","Spider","Nopattack",0.5,0,0.25,NA,0.00266722184852339,0.00377237973535035
"78","Spider","Nopattack",NA,0,0.75,NA,0.00266722184852339,0.00377237973535035
"79","Spider","Nopattack",0,0,0.75,NA,0.00266722184852339,0.00377237973535035
"80","Spider","Nopattack",0.25,0,0.25,NA,0.00266722184852339,0.00377237973535035
