"","Insect","Plant_Combinations","Mean_Season1","Mean_Season2","Mean_Season3","StdError_Season1","StdError_Season2","StdError_Season3"
"1","Whitefly","AgerBot",1.25,1.25,7.625,0.00374899806548442,0.00372730971580888,0.0096597062550827
"2","Whitefly","AgerBot",1,1,6.025,0.00374899806548442,0.00372730971580888,0.0096597062550827
"3","Whitefly","AgerBot",0.625,0.75,5.575,0.00374899806548442,0.00372730971580888,0.0096597062550827
"4","Whitefly","AgerBot",1,1,6.125,0.00374899806548442,0.00372730971580888,0.0096597062550827
"5","Whitefly","Agerwater",0.75,0.75,7.15,0.00374899806548442,0.00372730971580888,0.0096597062550827
"6","Whitefly","Agerwater",1,1,6.375,0.00374899806548442,0.00372730971580888,0.0096597062550827
"7","Whitefly","Agerwater",0.75,0.75,5.825,0.00374899806548442,0.00372730971580888,0.0096597062550827
"8","Whitefly","Agerwater",0.875,1,6,0.00374899806548442,0.00372730971580888,0.0096597062550827
"9","Whitefly","Agerattack",0.75,0.75,5.575,0.00374899806548442,0.00372730971580888,0.0096597062550827
"10","Whitefly","Agerattack",0.625,0.5,6.275,0.00374899806548442,0.00372730971580888,0.0096597062550827
"11","Whitefly","Agerattack",1.25,1.25,6,0.00374899806548442,0.00372730971580888,0.0096597062550827
"12","Whitefly","Agerattack",0.75,0.75,5.7,0.00374899806548442,0.00372730971580888,0.0096597062550827
"13","Whitefly","CymbBot",0.5625,0.75,7.025,0.00374899806548442,0.00372730971580888,0.0096597062550827
"14","Whitefly","CymbBot",0.75,0.75,8.2,0.00374899806548442,0.00372730971580888,0.0096597062550827
"15","Whitefly","CymbBot",0.75,0.75,7,0.00374899806548442,0.00372730971580888,0.0096597062550827
"16","Whitefly","CymbBot",0.5,0.5,7.575,0.00374899806548442,0.00372730971580888,0.0096597062550827
"17","Whitefly","Cymbwater",0.5,0.5,7.45,0.00374899806548442,0.00372730971580888,0.0096597062550827
"18","Whitefly","Cymbwater",1,1,6.575,0.00374899806548442,0.00372730971580888,0.0096597062550827
"19","Whitefly","Cymbwater",1,1,6.9,0.00374899806548442,0.00372730971580888,0.0096597062550827
"20","Whitefly","Cymbwater",0.75,0.75,7,0.00374899806548442,0.00372730971580888,0.0096597062550827
"21","Whitefly","Cymbattack",0.5,0.5,7.15,0.00374899806548442,0.00372730971580888,0.0096597062550827
"22","Whitefly","Cymbattack",0.75,0.75,7.4,0.00374899806548442,0.00372730971580888,0.0096597062550827
"23","Whitefly","Cymbattack",1,1,7.825,0.00374899806548442,0.00372730971580888,0.0096597062550827
"24","Whitefly","Cymbattack",0.75,0.75,7.2,0.00374899806548442,0.00372730971580888,0.0096597062550827
"25","Whitefly","LantBot",0.5,0.5,5.2,0.00374899806548442,0.00372730971580888,0.0096597062550827
"26","Whitefly","LantBot",0.25,0.25,5.675,0.00374899806548442,0.00372730971580888,0.0096597062550827
"27","Whitefly","LantBot",0.5,0.5,5.8625,0.00374899806548442,0.00372730971580888,0.0096597062550827
"28","Whitefly","LantBot",0.5,0.5,5.5,0.00374899806548442,0.00372730971580888,0.0096597062550827
"29","Whitefly","Lantwater",0.75,0.75,5.25,0.00374899806548442,0.00372730971580888,0.0096597062550827
"30","Whitefly","Lantwater",0.25,0.25,5.025,0.00374899806548442,0.00372730971580888,0.0096597062550827
"31","Whitefly","Lantwater",0.625,0.75,5.025,0.00374899806548442,0.00372730971580888,0.0096597062550827
"32","Whitefly","Lantwater",0.25,0.25,5.25,0.00374899806548442,0.00372730971580888,0.0096597062550827
"33","Whitefly","Lantattack",0.5,0.5,5.375,0.00374899806548442,0.00372730971580888,0.0096597062550827
"34","Whitefly","Lantattack",0,0,5.95,0.00374899806548442,0.00372730971580888,0.0096597062550827
"35","Whitefly","Lantattack",0.25,0.25,5.025,0.00374899806548442,0.00372730971580888,0.0096597062550827
"36","Whitefly","Lantattack",0.25,0.25,5.275,0.00374899806548442,0.00372730971580888,0.0096597062550827
"37","Whitefly","TalBot",0.625,0.75,5.7,0.00374899806548442,0.00372730971580888,0.0096597062550827
"38","Whitefly","TalBot",0.375,0.5,6.2,0.00374899806548442,0.00372730971580888,0.0096597062550827
"39","Whitefly","TalBot",0.625,0.75,5.5,0.00374899806548442,0.00372730971580888,0.0096597062550827
"40","Whitefly","TalBot",0.375,0.25,5.45,0.00374899806548442,0.00372730971580888,0.0096597062550827
"41","Whitefly","Talwater",0.8125,1.25,5.825,0.00374899806548442,0.00372730971580888,0.0096597062550827
"42","Whitefly","Talwater",0.25,0.5,5.7625,0.00374899806548442,0.00372730971580888,0.0096597062550827
"43","Whitefly","Talwater",0.5625,0.75,5.525,0.00374899806548442,0.00372730971580888,0.0096597062550827
"44","Whitefly","Talwater",0.3125,0.5,5.4125,0.00374899806548442,0.00372730971580888,0.0096597062550827
"45","Whitefly","Talattack",0.375,0.5,5.575,0.00374899806548442,0.00372730971580888,0.0096597062550827
"46","Whitefly","Talattack",0.125,0,5.775,0.00374899806548442,0.00372730971580888,0.0096597062550827
"47","Whitefly","Talattack",0.25,0.5,5.325,0.00374899806548442,0.00372730971580888,0.0096597062550827
"48","Whitefly","Talattack",0.125,0,5.65,0.00374899806548442,0.00372730971580888,0.0096597062550827
"49","Whitefly","TriBot",0.3125,0.5,5.65,0.00374899806548442,0.00372730971580888,0.0096597062550827
"50","Whitefly","TriBot",0,0,5.225,0.00374899806548442,0.00372730971580888,0.0096597062550827
"51","Whitefly","TriBot",0.125,0.25,5.2,0.00374899806548442,0.00372730971580888,0.0096597062550827
"52","Whitefly","TriBot",0.375,0.25,5.325,0.00374899806548442,0.00372730971580888,0.0096597062550827
"53","Whitefly","Triwater",0.5,0.5,5,0.00374899806548442,0.00372730971580888,0.0096597062550827
"54","Whitefly","Triwater",0.375,0.5,5.875,0.00374899806548442,0.00372730971580888,0.0096597062550827
"55","Whitefly","Triwater",0.5,0.5,5.675,0.00374899806548442,0.00372730971580888,0.0096597062550827
"56","Whitefly","Triwater",0.25,0.25,5.7,0.00374899806548442,0.00372730971580888,0.0096597062550827
"57","Whitefly","Triattack",0.375,0.5,5.125,0.00374899806548442,0.00372730971580888,0.0096597062550827
"58","Whitefly","Triattack",0.5,0.5,5.775,0.00374899806548442,0.00372730971580888,0.0096597062550827
"59","Whitefly","Triattack",0.25,0.25,5.4,0.00374899806548442,0.00372730971580888,0.0096597062550827
"60","Whitefly","Triattack",0.3125,0.5,5.125,0.00374899806548442,0.00372730971580888,0.0096597062550827
"61","Whitefly","CrotBot",0.25,0.25,5.375,0.00374899806548442,0.00372730971580888,0.0096597062550827
"62","Whitefly","CrotBot",0.0625,0.5,5.65,0.00374899806548442,0.00372730971580888,0.0096597062550827
"63","Whitefly","CrotBot",0.125,0.75,4.95,0.00374899806548442,0.00372730971580888,0.0096597062550827
"64","Whitefly","CrotBot",0.25,0.25,5.2,0.00374899806548442,0.00372730971580888,0.0096597062550827
"65","Whitefly","Crotwater",0.25,0.5,5.325,0.00374899806548442,0.00372730971580888,0.0096597062550827
"66","Whitefly","Crotwater",0.1875,0.5,5.95,0.00374899806548442,0.00372730971580888,0.0096597062550827
"67","Whitefly","Crotwater",0.25,0.25,5.75,0.00374899806548442,0.00372730971580888,0.0096597062550827
"68","Whitefly","Crotwater",0.1875,0.5,5.5,0.00374899806548442,0.00372730971580888,0.0096597062550827
"69","Whitefly","Crotattack",0.25,0.25,4.95,0.00374899806548442,0.00372730971580888,0.0096597062550827
"70","Whitefly","Crotattack",0.25,0.25,5.5,0.00374899806548442,0.00372730971580888,0.0096597062550827
"71","Whitefly","Crotattack",0.25,0.25,4.95,0.00374899806548442,0.00372730971580888,0.0096597062550827
"72","Whitefly","Crotattack",0.25,0.25,5,0.00374899806548442,0.00372730971580888,0.0096597062550827
"73","Whitefly","Nopwater",0.25,0.25,5.4,0.00374899806548442,0.00372730971580888,0.0096597062550827
"74","Whitefly","Nopwater",0.125,0.25,5.575,0.00374899806548442,0.00372730971580888,0.0096597062550827
